,Construction year,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Accessible for disabled people,Swimming pool,Energy class,Heating type,Double glazing,Price,Address,Covered parking spaces,Flood zone type,Neighbourhood or locality,Outdoor parking spaces,Garden surface,Terrace surface,Garden,Monthly charges
0,1954.0,Good,3.0,Isolated,212  m² square meters,60  m² square meters,Installed,12  m² square meters,4.0,2.0,2.0,2.0,Yes,No,Yes,Yes,Yes,No,F,Gas,Yes,"€ 730,000  730000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,,,,,
1,2010.0,Good,2.0,,258  m² square meters,,Hyper equipped,,2.0,1.0,,2.0,,Yes,Yes,,,,A,Gas,Yes,"€ 775,000  775000 €",Mechelsesteenweg 382 3020  - Herent,2.0,Non flood zone,,,,,,
2,2010.0,Good,4.0,Urban,94  m² square meters,34  m² square meters,Installed,34  m² square meters,2.0,1.0,1.0,1.0,Yes,No,Yes,No,No,No,E,Gas,Yes,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",Rue de la Wallonie 2A 4680  - Oupeye,1.0,Non flood zone,Liège environs,1.0,,,,
3,1954.0,Good,3.0,Isolated,212  m² square meters,60  m² square meters,Installed,12  m² square meters,4.0,2.0,2.0,2.0,Yes,No,Yes,Yes,Yes,No,F,Gas,Yes,"€ 730,000  730000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,,,,,
4,2005.0,Good,2.0,Isolated,111  m² square meters,30  m² square meters,Installed,7  m² square meters,3.0,1.0,1.0,1.0,Yes,No,,Yes,Yes,No,B,Gas,,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",Rue de la Wallonie 2A 4680  - Oupeye,,Non flood zone,Oupeye,1.0,200  m²  square meters,,,
5,2022.0,As new,2.0,Urban,96  m² square meters,27  m² square meters,Hyper equipped,7  m² square meters,2.0,1.0,,1.0,Yes,No,,Yes,No,No,A,,Yes,"€ 320,000  320000 €",Sint-Denijslaan 1 9000  - Gent,,Non flood zone,Gent en omstreken,101.0,,16  m²  square meters,,
6,2022.0,As new,2.0,Urban,99  m² square meters,34  m² square meters,Hyper equipped,,2.0,1.0,,1.0,Yes,No,,Yes,No,No,A,,Yes,"€ 390,000  390000 €",Sint-Denijslaan 1 9000  - Gent,,Non flood zone,Gent en omstreken,101.0,,12  m²  square meters,,
7,2017.0,As new,2.0,Urban,43  m² square meters,27  m² square meters,USA hyper equipped,,,1.0,1.0,1.0,Yes,No,,Yes,Yes,No,C,Gas,Yes,"€ 180,000  180000 €",Parvis Sainte-Alix 37 1150  - Woluwe-Saint-Pierre,,Non flood zone,,1.0,,5  m²  square meters,,
8,1947.0,Good,2.0,"Living area (residential, urban or rural)",110  m² square meters,51  m² square meters,Installed,33  m² square meters,2.0,1.0,,1.0,,No,Yes,,,,C,Gas,Yes,"€ 230,000  230000 €",Zuidlaan 72 9230  - Wetteren,,Non flood zone,,,,,Yes,
9,2002.0,To be done up,2.0,Countryside,80  m² square meters,,Installed,,1.0,1.0,,1.0,,,,,,,B,Fuel oil,Yes,"€ 220,000  220000 €",Tussenbruggen 9 9700  - Oudenaarde,1.0,Non flood zone,,1.0,,14  m²  square meters,Yes,€ 110  110 €
10,2001.0,Good,2.0,,125  m² square meters,,Semi equipped,,2.0,1.0,,1.0,,,Yes,,,,B,Gas,Yes,"€ 219,000  219000 €",Grote Markt 35 9600  - Ronse,,Non flood zone,,,,,,
11,1979.0,Good,2.0,Urban,84  m² square meters,27  m² square meters,Installed,9  m² square meters,2.0,1.0,,1.0,,No,,Yes,Yes,No,B,Gas,Yes,"€ 159,000  159000 €",Stationstraat 30 9600  - Ronse,,Non flood zone,Vlaamse Ardennen,,,12  m²  square meters,,
12,2022.0,As new,2.0,Urban,63  m² square meters,38  m² square meters,Hyper equipped,,1.0,1.0,,1.0,Yes,No,,Yes,Yes,No,A,,Yes,"€ 230,000  230000 €",Sint-Denijslaan 1 9000  - Gent,10.0,Non flood zone,Gent en omstreken,101.0,,10  m²  square meters,,
13,1927.0,Good,2.0,Isolated,76  m² square meters,15  m² square meters,Semi equipped,13  m² square meters,1.0,1.0,1.0,1.0,Yes,No,,No,No,No,E,Gas,Yes,"€ 230,000  230000 €","Avenue des Cerisiers, 95 1200  - Woluwe-St-Lambert",,,Bruxelles Est,,,2  m²  square meters,,€ 33  33 €
14,2022.0,As new,2.0,Urban,63  m² square meters,38  m² square meters,Hyper equipped,,1.0,1.0,,1.0,Yes,No,,Yes,Yes,No,A,,Yes,"€ 245,000  245000 €",Sint-Denijslaan 1 9000  - Gent,10.0,Non flood zone,Gent en omstreken,101.0,,10  m²  square meters,,
15,1918.0,Good,3.0,Isolated,185  m² square meters,35  m² square meters,Installed,12  m² square meters,4.0,1.0,1.0,2.0,,No,,No,No,No,G,Gas,Yes,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",Rue de la Wallonie 2A 4680  - Oupeye,1.0,Non flood zone,Oupeye,,,72  m²  square meters,,
16,2012.0,Good,2.0,Urban,78  m² square meters,16  m² square meters,Installed,15  m² square meters,1.0,1.0,,1.0,,No,,No,No,No,B,Gas,Yes,"€ 235,000  235000 €",Sint-Denijslaan 1 9000  - Gent,,Non flood zone,Oost-Vlaanderen,,,,,
17,2017.0,As new,2.0,Urban,52  m² square meters,,Hyper equipped,,1.0,1.0,,1.0,Yes,No,,Yes,Yes,No,B,Gas,Yes,"€ 245,000  245000 €",Sint-Denijslaan 1 9000  - Gent,,Non flood zone,Oost-Vlaanderen,,,10  m²  square meters,,
18,1862.0,Good,2.0,Isolated,125  m² square meters,25  m² square meters,Installed,10  m² square meters,4.0,1.0,1.0,1.0,Yes,No,,No,No,No,F,Fuel oil,,"€ 244,000  244000 €",Place Merlot 6 4100  - Seraing,2.0,Non flood zone,Grand Liège,4.0,28  m²  square meters,108  m²  square meters,,
19,1965.0,To renovate,,,110  m² square meters,32  m² square meters,Semi equipped,6  m² square meters,3.0,1.0,,1.0,,,,Yes,,,C,Fuel oil,Yes,"€ 249,000  249000 €",Prins Boudewijnlaan 122 2610  - Wilrijk,1.0,,,,,6  m²  square meters,,€ 200  200 €
20,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,57.0,,Bruxelles,57.0,,,,
21,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,1.0,,,30.0,,,,
22,,,,,,,,,,,,,,,,,,,A,,,,Boulevard de la Woluwe 62 boîte 3 1200  - Woluwe-St-Lambert,,,1 - Bruxelles Est,,,,,
23,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,50.0,Non flood zone,Bruxelles,50.0,,,,
24,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,,Non flood zone,,43.0,,,,
25,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,,Non flood zone,Bruxelles,,,,,
26,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,,,,,,,,
27,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,1.0,Possible flood zone,Oost-Vlaanderen,1.0,,,,
28,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,23.0,Non flood zone,Bruxelles,23.0,,,,
29,,,,,,,,,,,,,,,,,,,Not specified,,,,"Roterijstraat, 202 8793  - Waregem",,,,,,,,
30,,,,,,,,,,,,,,,,,,,A,,,,Place Communale 8 1160  - Auderghem,,,Bruxelles,52.0,,,,
31,,,,,,,,,,,,,,,,,,,Not specified,,,,Brusselsesteenweg 690 9050  - Gentbrugge,,Non flood zone,,2.0,,,,
32,,,,,,,,,,,,,,,,,,,Not specified,,,,Stationstraat 31 8790  - Waregem,,,,,,,,
33,,,,,,,,,,,,,,,,,,,Not specified,,,,Theofiel De Biestraat 11 2220  - Heist-op-den-Berg,,Non flood zone,,,,,,
34,,,,,,,,,,,,,,,,,,,Not specified,,,,Brusselsesteenweg 690 9050  - Gentbrugge,,Non flood zone,,2.0,,,,
35,,,,,,,,,,,,,,,,,,,A,,,,Sint-Denijslaan 1 9000  - Gent,10.0,Non flood zone,Gent en omstreken,101.0,,,,
36,1978.0,Good,2.0,Urban,95  m² square meters,42  m² square meters,Installed,9  m² square meters,2.0,1.0,,1.0,Yes,,,,,,B,Gas,Yes,"€ 199,000  199000 €",Plantin en Moretuslei 135A 2140  - Borgerhout,,Non flood zone,Oud Borgerhout,,,4  m²  square meters,,€ 230  230 €
37,,,,,,,,,,,,,,,,,,,Not specified,,,,Grote Markt 35 9600  - Ronse,,,,,,,,
38,,,,,,,,,,,,,,,,,,,Not specified,,,,Markt 20 2440  - Geel,,Non flood zone,,,,,,
39,,,,,,,,,,,,,,,,,,,Not specified,,,,Brusselsesteenweg 690 9050  - Gentbrugge,,Non flood zone,,,,,,
40,,,,,,,,,,,,,,,,,,,Not specified,,,,Antwerpsesteenweg 359 2500  - Lier,,Non flood zone,,,,,,
41,,,,,,,,,,,,,,,,,,,Not specified,,,,Dorpshart 10 2870  - Puurs,,Non flood zone,,,,,,
42,,,,,,,,,,,,,,,,,,,Not specified,,,,Stationstraat 31 8790  - Waregem,,,,,,,,
43,1850.0,Good,3.0,Isolated,230  m² square meters,12  m² square meters,USA installed,11  m² square meters,5.0,2.0,2.0,2.0,Yes,No,,No,No,No,E,Fuel oil,Yes,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",Rue de la Wallonie 2A 4680  - Oupeye,,Non flood zone,Liège environs,,339  m²  square meters,,,
44,,,,,,,,,,,,,,,,,,,Not specified,,,,Brusselsesteenweg 690 9050  - Gentbrugge,,Non flood zone,,2.0,,,,
45,,,,,,,,,,,,,,,,,,,Not specified,,,,"Roterijstraat, 202 8793  - Waregem",,,,,,,,
46,,,,,,,,,,,,,,,,,,,Not specified,,,,Brusselsesteenweg 690 9050  - Gentbrugge,15.0,Non flood zone,,,,,,
47,,,,,,,,,,,,,,,,,,,Not specified,,,,Boulevard de la Woluwé 2 1150  - Bruxelles,,Non flood zone,De groene long van Diegem,,,,,
48,1850.0,Good,3.0,Isolated,230  m² square meters,12  m² square meters,Not installed,11  m² square meters,5.0,2.0,2.0,2.0,Yes,No,,No,No,No,E,Fuel oil,Yes,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",Rue de la Wallonie 2A 4680  - Oupeye,,Non flood zone,Liège environs,,339  m²  square meters,,,
49,,,,,,,,,,,,,,,,,,,Not specified,,,,Industrieweg 76 9032  - Wondelgem,,,,,,,,
50,,,,,,,,,,,,,,,,,,,Not specified,,,,Stationstraat 30 9600  - Ronse,7.0,Non flood zone,Vlaamse Ardennen,1.0,,,,
51,,,,,,,,,,,,,,,,,,,Not specified,,,,Avenue de L'amarante 39 1020  - Bruxelles,,,Belgium,,,,,
52,1966.0,Just renovated,2.0,Isolated,46  m² square meters,26  m² square meters,Installed,6  m² square meters,,1.0,,1.0,Yes,No,,Yes,No,No,C,Gas,,"€ 245,000  245000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,,Les Woluwes,,,6  m²  square meters,,
53,,,,,,,,,,,,,,,,,,,Not specified,,,,Kapelanielaan 9c 9140  - Temse,,Non flood zone,,,,,,
54,,,,,,,,,,,,,,,,,,,Not specified,,,,Kempenlaan 32 2300  - Turnhout,,Non flood zone,,,,,,
55,,,,,,,,,,,,,,,,,,,Not specified,,,,Route de Neufchateau 208 6700  - Arlon,,,,,,,,
56,,,,,,,,,,,,,,,,,,,Not specified,,,,Grote Markt 10 2200  - HERENTALS,,Non flood zone,,,,,,
57,,,,,,,,,,,,,,,,,,,Not specified,,,,Burchtstraat 12 9400  - Ninove,2.0,Non flood zone,,,,,,
58,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Michielsstraat 26 8800  - Roeselare,,Non flood zone,,,,,,
59,,,,,,,,,,,,,,,,,,,Not specified,,,,Avenue de Longwy 340 6700  - Arlon,,,,,,,,
60,,,,,,,,,,,,,,,,,,,Not specified,,,,Chausée de Bruxelles 135 A 1310  - La Hulpe,,,Cambre,,,,,
61,,,,,,,,,,,,,,,,,,,Not specified,,,,Brusselsesteenweg 690 9050  - Gentbrugge,,Non flood zone,,2.0,,,,
62,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Jansvliet 5 2000  - Antwerpen,,Non flood zone,,,,,,
63,1957.0,To renovate,2.0,Isolated,155  m² square meters,31  m² square meters,Semi equipped,16  m² square meters,3.0,1.0,,1.0,,No,,No,No,No,F,Gas,,"€ 235,000  235000 €","Oude zandstraat , 30 9120  - Beveren",,Non flood zone,9120 Beveren met deelgemeenten,,115  m²  square meters,15  m²  square meters,,
64,,,,,,,,,,,,,,,,,,,Not specified,,,,Rue Seutin 2 1400  - Nivelles,,Non flood zone,Les Lauriers,,,,,
65,2021.0,As new,4.0,Urban,76  m² square meters,19  m² square meters,Hyper equipped,7  m² square meters,1.0,1.0,,1.0,,No,,Yes,,,A,Gas,Yes,"€ 260,000  260000 €",Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,Gent en omstreken,1.0,,11  m²  square meters,,
66,,,,,,,,,,,,,,,,,,,A,,,,Markt 32 8700  - Tielt,,Non flood zone,,,,,,
67,,,,,,,,,,,,,,,,,,,Not specified,,,,rue du bosquet 3 1348  - Louvain-la-neuve,,,,,,,,
68,,,,,,,,,,,,,,,,,,,B,,,,Boulevard de la Woluwe 62 boîte 3 1200  - Woluwe-St-Lambert,17.0,Non flood zone,1 - Bruxelles Est,17.0,,,,
69,,,,,,,,,,,,,,,,,,,Not specified,,,,Parklaan 63 9300  - Aalst,,Non flood zone,,,,,,
70,,,,,,,,,,,,,,,,,,,Not specified,,,,Rue Fort d'Andoy 5 5100  - Wierde,,,Liège,,,,,
71,,,,,,,,,,,,,,,,,,,Not specified,,,,Brusselsesteenweg 690 9050  - Gentbrugge,,Non flood zone,,1.0,,,,
72,,,,,,,,,,,,,,,,,,,B,,,,Rue Fort d'Andoy 5 5100  - Wierde,26.0,,Liège,,,,,
73,,,,,,,,,,,,,,,,,,,Not specified,,,,Mechelsesteenweg 382 3020  - Herent,,Possible flood zone,,,,,,
74,,,,,,,,,,,,,,,,,,,B,,,,Rue Fort d'Andoy 5 5100  - Wierde,89.0,,Hainaut,,,,,
75,,,,,,,,,,,,,,,,,,,Not specified,,,,De Kleetlaan 4 1831  - Diegem,,,,,,,,
76,,,,,,,,,,,,,,,,,,,Not specified,,,,Van Frachenlaan 10 1820  - Steenokkerzeel,,Non flood zone,,,,,,
77,,,,,,,,,,,,,,,,,,,Not specified,,,,"Roterijstraat, 202 8793  - Waregem",,,,,,,,
78,,,,,,,,,,,,,,,,,,,A,,,,Sint-Denijslaan 1 9000  - Gent,6.0,Non flood zone,Oost-Vlaanderen,6.0,,,,
79,2021.0,As new,4.0,Urban,76  m² square meters,19  m² square meters,Hyper equipped,7  m² square meters,1.0,1.0,,1.0,,No,,Yes,,No,A,Gas,Yes,"€ 265,000  265000 €",Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,Gent en omstreken,1.0,,11  m²  square meters,,
80,,,,,,,,,,,,,,,,,,,Not specified,,,,Antwerpsesteenweg 359 2500  - Lier,,Non flood zone,,,,,,
81,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,1.0,Possible flood zone,Oost-Vlaanderen,1.0,,,,
82,,,,,,,,,,,,,,,,,,,Not specified,,,,Grote Markt 10 2200  - HERENTALS,,Non flood zone,,,,,,
83,,,,,,,,,,,,,,,,,,,Not specified,,,,"rue Saint-Martin, 5 7500  - Tournai",,,,,,,,
84,,,,,,,,,,,,,,,,,,,B,,,,Place Brugmann 10B 1050  - Ixelles,,Non flood zone,Bruxelles Sud,36.0,,,,
85,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,,1.0,,,,
86,,,,,,,,,,,,,,,,,,,Not specified,,,,Burg Gillonlaan 115 8500  - Kortrijk,,,,,,,,
87,,,,,,,,,,,,,,,,,,,B,,,,Av. Reine Astrid 215 1410  - Waterloo,12.0,Non flood zone,2 - BRABANT WALLON,12.0,,,,
88,,,,,,,,,,,,,,,,,,,Not specified,,,,Kardinaal Mercierlaan 81 3001  - Heverlee,1.0,Non flood zone,,,,,,
89,,,,,,,,,,,,,,,,,,,Not specified,,,,Theofiel De Biestraat 11 2220  - Heist-op-den-Berg,,Non flood zone,,,,,,
90,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,Gent en omstreken,2.0,,,,
91,,,,,,,,,,,,,,,,,,,A,,,,Sint-Denijslaan 1 9000  - Gent,10.0,Non flood zone,Gent en omstreken,101.0,,,,
92,,,,,,,,,,,,,,,,,,,Not specified,,,,Grote Markt 10 2200  - HERENTALS,,Non flood zone,,,,,,
93,,,,,,,,,,,,,,,,,,,Not specified,,,,Theofiel De Biestraat 11 2220  - Heist-op-den-Berg,,Non flood zone,,,,,,
94,,,,,,,,,,,,,,,,,,,Not specified,,,,Industrieweg 76 9032  - Wondelgem,,Non flood zone,,,,,,
95,,,,,,,,,,,,,,,,,,,Not specified,,,,Industrieweg 76 9032  - Wondelgem,,Non flood zone,,,,,,
96,1987.0,Good,2.0,Landscape,72  m² square meters,,Installed,,2.0,1.0,,2.0,Yes,Yes,Yes,Yes,,,B,Gas,Yes,"€ 285,000  285000 €",Franchommelaan 82-86 8370  - Blankenberge,,Non flood zone,,,,,,
97,,,,,,,,,,,,,,,,,,,Not specified,,,,Grote Markt 10 2200  - HERENTALS,,Non flood zone,,,,,,
98,,,,,,,,,,,,,,,,,,,Not specified,,,,"Dorpsstraat, 21 9190  - Stekene",,Non flood zone,,,,,,
99,,,,,,,,,,,,,,,,,,,Not specified,,,,Bergstraat 184 2220  - Heist op den Berg,,Non flood zone,,,,,,
100,,,,,,,,,,,,,,,,,,,Not specified,,,,Chaussee de Charleroi 59 B 5030  - Gembloux,,,,,,,,
101,,,,,,,,,,,,,,,,,,,Not specified,,,,Hoogstraat 2 bus 1 3360  - Bierbeek,,Non flood zone,,,,,,
102,,,,,,,,,,,,,,,,,,,Not specified,,,,Grote Markt 10 2200  - HERENTALS,,Non flood zone,,,,,,
103,,,,,,,,,,,,,,,,,,,A,,,,Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,Oost-Vlaanderen,1.0,,,,
104,1962.0,As new,2.0,"Living area (residential, urban or rural)",94  m² square meters,35  m² square meters,Installed,7  m² square meters,2.0,1.0,1.0,1.0,,No,,Yes,Yes,No,G,Fuel oil,Yes,"€ 295,000  295000 €","Avenue des Cerisiers, 95 1200  - Woluwe-St-Lambert",1.0,Non flood zone,,1.0,,5  m²  square meters,,€ 175  175 €
105,,,,,,,,,,,,,,,,,,,A,,,,Chaussée de Marche 474 5101  - Erpent,,,,2.0,,,,
106,,,,,,,,,,,,,,,,,,,Not specified,,,,Grote Markt 10 2200  - HERENTALS,,Non flood zone,,,,,,
107,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,Oost-Vlaanderen,,,,,
108,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,,Possible flood zone,Oost-Vlaanderen,,,,,
109,,,,,,,,,,,,,,,,,,,Not specified,,,,Avenue de Bouillon 92 6800  - Libramont,,,Zone Centre Province du Luxembourg,,,,,
110,2021.0,As new,4.0,Urban,97  m² square meters,31  m² square meters,Hyper equipped,5  m² square meters,2.0,1.0,,1.0,,No,,Yes,,No,A,Gas,Yes,"€ 311,000  311000 €",Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,Gent en omstreken,1.0,,10  m²  square meters,,
111,,,,,,,,,,,,,,,,,,,B,,,,"Avenue Franklin Roosevelt 104/29, 1330  - Rixensart",,,,,,,,
112,,,,,,,,,,,,,,,,,,,Not specified,,,,Avenue Louise 200 1050  - Ixelles,,,,,,,,
113,,,,,,,,,,,,,,,,,,,Not specified,,,,Industrieweg 76 9032  - Wondelgem,,Non flood zone,,,,,,
114,2021.0,As new,4.0,Urban,97  m² square meters,31  m² square meters,Hyper equipped,5  m² square meters,2.0,1.0,,1.0,,No,,Yes,,No,A,Gas,Yes,"€ 323,500  323500 €",Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,Gent en omstreken,1.0,,10  m²  square meters,,
115,,,,,,,,,,,,,,,,,,,Not specified,,,,Vesten 47 9120  - Beveren,,Non flood zone,,,,,,
116,,,,,,,,,,,,,,,,,,,Not specified,,,,Industrieweg 76 9032  - Wondelgem,,Non flood zone,,,,,,
117,,,,,,,,,,,,,,,,,,,A,,,,Avenue Louise 200 1050  - Ixelles,,,,,,,,
118,,,,,,,,,,,,,,,,,,,Not specified,,,,"Roterijstraat, 202 8793  - Waregem",,,,,,,,
119,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,,Non flood zone,Gent en omstreken,16.0,,,,
120,,,,,,,,,,,,,,,,,,,Not specified,,,,Vesten 47 9120  - Beveren,,Non flood zone,,,,,,
121,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,,1.0,,,,
122,,,,,,,,,,,,,,,,,,,A,,,,Boulevard de la Woluwe 62 boîte 3 1200  - Woluwe-St-Lambert,32.0,Non flood zone,3. BRABANT FLAMAND,32.0,,,,
123,,,,,,,,,,,,,,,,,,,Not specified,,,,"Kortrijksesteenweg, 390 bus 001 9000  - Gent",,Non flood zone,,,,,,
124,,,,,,,,,,,,,,,,,,,Not specified,,,,Vesten 47 9120  - Beveren,,Non flood zone,,,,,,
125,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,,Non flood zone,,,,,,
126,,,,,,,,,,,,,,,,,,,Not specified,,,,Parklaan 63 9300  - Aalst,,Non flood zone,,,,,,
127,,,,,,,,,,,,,,,,,,,Not specified,,,,Theofiel De Biestraat 11 2220  - Heist-op-den-Berg,,Non flood zone,,,,,,
128,,,,,,,,,,,,,,,,,,,Not specified,,,,Rijselstraat 25 8900  - Ieper,,Possible flood zone,,,,,,
129,,,,,,,,,,,,,,,,,,,Not specified,,,,Markt 20 2440  - Geel,,Non flood zone,,,,,,
130,,,,,,,,,,,,,,,,,,,Not specified,,,,Boulevard Lalaing 1 7500  - Tournai,,Non flood zone,,,,,,
131,,,,,,,,,,,,,,,,,,,Not specified,,,,Chaussée de Liège 205 5100  - Jambes,,,,,,,,
132,,,,,,,,,,,,,,,,,,,Not specified,,,,Ieperstraat 35 8970  - Poperinge,,Non flood zone,,,,,,
133,,,,,,,,,,,,,,,,,,,Not specified,,,,Markt 20 2440  - Geel,29.0,Non flood zone,,,,,,
134,,,,,,,,,,,,,,,,,,,Not specified,,,,Rue Seutin 2 1400  - Nivelles,,Non flood zone,LA MALOGNE,,,,,
135,,,,,,,,,,,,,,,,,,,Not specified,,,,Kinderlaan 17 8670  - Oostduinkerke,,Non flood zone,,,,,,
136,,,,,,,,,,,,,,,,,,,Not specified,,,,Kardinaal Mercierlaan 81 3001  - Leuven,,Possible flood zone,,,,,,
137,2004.0,Good,,,95  m² square meters,30  m² square meters,Hyper equipped,,2.0,1.0,,2.0,Yes,,,Yes,,,D,Gas,Yes,"€ 275,000  275000 €","rue Guillaume Crocklaan, 2 1160  - Oudergem",1.0,,Bruxelles Est,,,14  m²  square meters,,€ 191  191 €
138,,,,,,,,,,,,,,,,,,,Not specified,,,,Chaussée de Huy 368 1325  - Chaumont-Gistoux,17.0,Non flood zone,,27.0,,,,
139,,,,,,,,,,,,,,,,,,,Not specified,,,,Stationstraat 31 8790  - Waregem,,,,,,,,
140,,,,,,,,,,,,,,,,,,,Not specified,,,,Kinderlaan 17 8670  - Oostduinkerke,,Non flood zone,,,,,,
141,,,,,,,,,,,,,,,,,,,B,,,,Grand' Route 3 1435  - Mont Saint-Guibert,,Non flood zone,,,,,,
142,2021.0,As new,4.0,Urban,112  m² square meters,29  m² square meters,Hyper equipped,8  m² square meters,3.0,1.0,,1.0,,No,,Yes,,No,A,Gas,Yes,"€ 351,000  351000 €",Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,Gent en omstreken,1.0,,10  m²  square meters,,
143,2003.0,Good,2.0,,95  m² square meters,33  m² square meters,Semi equipped,8  m² square meters,2.0,1.0,,1.0,,,,,,,B,Gas,Yes,"€ 335,000  335000 €",Verbindingsweg 41 1880  - Kapelle-op-den-Bos,1.0,Non flood zone,,,,32  m²  square meters,,
144,2021.0,As new,4.0,Urban,111  m² square meters,29  m² square meters,Hyper equipped,8  m² square meters,3.0,2.0,,1.0,,No,,Yes,,No,A,Gas,Yes,"€ 355,000  355000 €",Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,Gent en omstreken,1.0,,10  m²  square meters,,
145,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,6.0,Non flood zone,West-Vlaanderen,6.0,,,,
146,,,,,,,,,,,,,,,,,,,A,,,,"Place Jamblinne de Meux, 17 1030  - Schaerbeek",,,,,,,,
147,,,,,,,,,,,,,,,,,,,Not specified,,,,Kardinaal Mercierlaan 81 3001  - Leuven,,Non flood zone,,,,,,
148,,,,,,,,,,,,,,,,,,,Not specified,,,,Kardinaal Mercierlaan 81 3001  - Leuven,,Possible flood zone,,,,,,
149,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,1.0,Non flood zone,,1.0,,,,
150,,,,,,,,,,,,,,,,,,,Not specified,,,,"Guissetplein, 5 9600  - Ronse",,,,,,,,
151,,,,,,,,,,,,,,,,,,,Not specified,,,,Kardinaal Mercierlaan 81 3001  - Leuven,,Non flood zone,,,,,,
152,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint Martinusplein 1 3600  - Genk,,Non flood zone,,,,,,
153,,,,,,,,,,,,,,,,,,,Not specified,,,,Sint-Denijslaan 1 9000  - Gent,6.0,Non flood zone,West-Vlaanderen,6.0,,,,
154,1875.0,To be done up,2.0,Urban,207  m² square meters,19  m² square meters,Installed,13  m² square meters,4.0,1.0,,1.0,Yes,No,Yes,,,,G,Gas,,"Make an offer starting from  € 360,000  Make an offer starting from  360000 €",Grand Place 2 1470  - Genappe,,Non flood zone,Nivelles,,518  m²  square meters,,,
155,,,,,,,,,,,,,,,,,,,Not specified,,,,Sluizeken 16 9000  - Gent,,Non flood zone,,,,,,
156,,,,,,,,,,,,,,,,,,,B,,,,Avenue Louise 251 1050  - Bruxelles,,,,,,,,
157,1881.0,Good,4.0,Isolated,330  m² square meters,40  m² square meters,Installed,12  m² square meters,4.0,1.0,,2.0,,No,,,,,E,Fuel oil,,"€ 425,000  425000 €",Chaussée de Tirlemont 15/1 4260  - Braives,,,Hesbaye,2.0,850  m²  square meters,120  m²  square meters,,
158,,,,,,,,,,,,,,,,,,,Not specified,,,,Bld. Brand Whitlock 108 1200  - Woluwe-Saint-Lambert,,,R Bruxelles Centre,31.0,,,,
159,1998.0,As new,4.0,Isolated,272  m² square meters,31  m² square meters,Hyper equipped,19  m² square meters,4.0,2.0,,3.0,,No,,No,No,Yes,D,Fuel oil,Yes,"€ 639,000  639000 €",Veemarkt 14 3300  - Tienen,2.0,Possible flood zone,,5.0,2200  m²  square meters,50  m²  square meters,,
